Job Title,Job URL,Company Name,Rating,Experience,Salary,Location,Tech Stack,Posted Date,Company Location,Openings,Applicants,Job Description,Role,Industry Type,Department,Employment Type,Role Category
Analyst (Marketo and Salesforce),https://www.naukri.com/job-listings-analyst-marketo-and-salesforce-the-hackett-group-hyderabad-2-to-7-years-290425012280,The Hackett Group,3.5,2-7 Yrs ,4-8 Lacs PA ,Remote ,"Marketo, Salesforce, Analysis",2025-07-10,Hyderabad,1,Less than 10,"About The Hackett Group:The Hackett Group (NASDAQ: HCKT) is an intellectual property-based strategic consultancy and leading enterprise benchmarking firm to global companies, offering digital transformation including implementation of leading enterprise cloud applications, workflow automation, and analytics that enable Digital World Class performance. Drawing from our unparalleled IP from nearly 20,000 benchmark studies with the worlds leading businesses  including 97% of the Dow Jones Industrials, 93% of the Fortune 100, 70% of the DAX 30, 64% of NASADQ-100 Technology Sector and 49% of the FTSE 100  captured through our leading benchmarking platform, Quantum Leap, and our Digital Transformation Platform (DTP), we accelerate best practices implementations. Founded in 1991, The Hackett Group was acquired by Answerthink, Inc. in 1997. Answerthink was renamed The Hackett Group, Inc. in 2008. The Hackett Group has global offices in the United States, Europe, and Asia-Pacific and is publicly traded on the NASDAQ as HCKT.With Headquarters in Miami, Florida, The Hackett Group is a global strategic advisory and technology consulting firm focused on helping organizations achieve ""Digital World Class"" performance. We leverage our expertise in Gen AI, business transformation, and benchmarking to assist clients in optimizing their operations, particularly in global business services, finance, HR, IT, and procurement. Our services include executive advisory programs, business process outsourcing, and application managed services.Our key areas of expertise:Gen AI: The Hackett Group is a leader in Gen AI solutions, helping organizations identify opportunities and implement AI-powered initiatives.Business Transformation: We offer comprehensive transformation services, including business process outsourcing and enterprise-wide automation.Global Business Services: We provide specialized consulting for global business services, including benchmarking, transformation, and executive advisory programs.Benchmarking: The Hackett Group conducts extensive benchmarking studies with leading businesses to identify best practices.Digital Transformation: We help organizations manage digital transformation by optimizing their operating model, technology, and workforce.Application Managed Services: We offer managed services for enterprise applications, including monitoring, maintenance, and optimization.Our key features:IP and Platform-based approach: The Hackett Group utilizes AI XPLR and ZBrain platforms to enable Gen AI ideation and implementation.Best Practices Intelligence Center: We offer access to a comprehensive repository of best practices backed by empirical data.Strategic Partners: The Hackett Group collaborates with various partners to deliver differentiated services and solutions.Global Presence: We operate in the United States, Europe, Asia and other regions, with offices in key locations like Miami, Atlanta, Frankfurt, London and Hyderabad.In essence, The Hackett Group helps businesses become more efficient, agile, and competitive by leveraging their expertise in Gen AI, business transformation, and benchmarking to achieve Digital World Class performance.Website:https://www.thehackettgroup.com/What are we looking for?: We are looking for a candidate who is hands on and proficient on below two tools and has very good communication skills in english language:1. Must have experience working on Adobe Marketo Tool (Someone who has worked as Admin on Adobe Marketo)Any candidate applying must be having deep user experience of Adobe Marketo. The person must have worked on Marketo to setup campaigns, change sequences. Preferably who has worked as on Admin in Marketo.2. Must have end user working experience on CRM Salesforce Navigator (Preferably) or any Other CRM Tool like Example: Hubspot, Sugar CRM, Microsoft CRM, Oracle CRM or any other such tools.Any candidate applying must also have end user experience of working on CRM Salesforce Navigator or any other CRM Tool.3. Must have very good English communication skillsAbove three skill requirements are mandatory to have in any candidate applying.Roles and Responsibilities:Candidate selected will be responsible to work on Adobe Marketo Tool to setup campaigns and change sequences. The person will be working as Admin on MarketoCandidate selected will be working on CRM Salesforce Navigator to make basic changes as on end user Other Criteria's:Candidate can work from home for this job requirementBudget for this position is  approx.. CTC INR 7,00,000 Per Annum","Marketing - Other ,","IT Services & Consulting ,","Marketing & Communication ,","Full Time, Permanent",Marketing
Staff Engineer,https://www.naukri.com/job-listings-staff-engineer-ascentforce-services-hyderabad-8-to-10-years-100725038005,Ascentforce Services,5.0,8-10 Yrs ,N/A,Remote ,"Cursor, Python Flask, Kubernetes, Flask, Python",2025-07-10,Hyderabad,4,Less than 10,"ROLE OVERVIEWearly-growth phase. The ideal candidate combines deep executional ability (80% ICwork) with light leadership, owning both architecture decisions and high-velocity featuredelivery.OBJECTIVES & RESPONSIBILITIES Hands-On Feature Delivery: Drive development of core product features throughend-to-end ownership  coding, reviews, testing, and documentation. Refactor & Optimize: Reduce technical debt by modernizing legacy code,stabilizing the system, and enhancing performance. CI/CD Implementation: Build and manage fully automated deployment pipelinesto support fast, reliable delivery. Technical Strategy: Work closely with the technical founder to shape and executeAdsgency's engineering roadmap. Team Mentorship: Guide and mentor engineers, manage resources, and enforcescalable dev processes. Cross-Functional Execution: Collaborate with product, design, and investorstakeholders to ensure end-to-end execution readiness.CORE REQUIREMENTS Experience: 810 years in software engineering, ideally in IC or Staff roles (nopure people managers). Execution Mindset: Startup-level hustle with a bias toward shipping code andsolving real problems. Frontend: React, TypeScript, Next.jsBackend: Python (Flask) Systems & Infra: Kubernetes, scalable microservices, distributed systems,architecture/design documentation Data & ML: PyTorch, LangChain, multi-agent frameworks, Transformers, andmodern LLM development experience Tooling: Cursor, AI dev tools (nice-to-have)NICE TO HAVE AdTech / MediaTech background (e.g. LinkedIn Ads, Meta Ads) Competitive coding pedigree (e.g. ICPC, Kaggle, hackathons) Experience with early-stage startups (pre-Series A) or founding teams Previous stints at high-growth product companies (Meta, Google, AWS, OpenAI,Perplexity, Pinecone, Scale AI, etc.) Top-tier academic background (GPA 3.8+/4.0 preferred)","Head - Engineering ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development
Maintenance Engineer,https://www.naukri.com/job-listings-maintenance-engineer-hr-h1-solution-chennai-0-to-5-years-100725037922,HR H1 Solution,N/A,0-5 Yrs ,1.25-6.25 Lacs PA ,Remote ,"New Product Development, Quality Control Management, Fabrication, PRODUCTION, Electrical Engineering, CATIA, NPD, VMC",2025-07-10,Chennai,45,Less than 10,"Job Vacancy Location : Padi, Mahindra World City & Madurai.Qualification : B.E (Mech) /Automobile.B.E (EEE), B.E (ECE)B.Tech (Mech) / Automobile B.Tech (EEE), B.Tech (ECE)Job Description  Maintenance Engineer (Machanical / Electrical) :Looking for Maintenance Engineers (Mechanical/Electrical) with hands-on experience in machinery upkeep and breakdown maintenance.Should be skilled in preventive maintenance, troubleshooting, and root cause analysis.Knowledge of hydraulics, pneumatics, and electrical systems is essential.Ability to handle shift-wise responsibilities and coordinate with the production team.Familiarity with TPM, 5S, and safety standards preferred.Interested candidate can WA your Resume9003268049","Maintenance Engineer ,","Automobile ,","Production , Manufacturing & Engineering ,","Full Time, Permanent","Operations, Maintenance & Support"
AIA Developer,https://www.naukri.com/job-listings-aia-developer-ascentforce-services-bengaluru-6-to-11-years-100725037759,Ascentforce Services,5.0,6-11 Yrs ,N/A,Remote ,"Oracle AIA, BRM Webservice, BSS/BRM, Bss, Bsm, Development, Oracle, Web services",2025-07-10,Bengaluru,4,Less than 10,"Requirement 1: BRM Data Migration No of Opening: 1 Working Mode: Remote Desired joining: Immediate Experience level: • 6-20 years of industry experience working as BSS/BRM Migration Lead • Hands on - Mandatory Responsibilities: • Working Knowledge of all the BRM Data migration components. • Well verse with BRM 12 Schema. • Strong understanding of Data model and Legacy data mapping. • Strong in data conversion techniques and experience in handling the encrypted data • Hands on with data loading and integrating with North/South bound systems.• Able to develop the Migration strategy and implementation plan • Must have worked as a BRM developer in their past and must be hands-on  n in BRM to verify the sanity of the Data migration - experience in development required and not support/operations work • Strong in post data migration analysis, such as events/invoice/Open items/ Bills & Dunning. • Able to develop scripts to reconcile the migrated data. • Strong in running parallel bill runs/Dry runs. • Has to handle the performance tests related to migration to optimize the downtime. Mandatory Skills: • Ability to execute the data migration and validations.• Ability to develop Migration strategy documents and techniques. • Execute data integrity testing post migration. • Strong programming skills and knowledge on Java technologies. Experience in C/C++, Oracle 12c/19c, PL / SQL, PCM Java, BRM Webservice, Scripting language (perl/python) • Familiarity with Migration tools like CMT& Etc. • Ability to develop and drive cutover runbook.• Ability to produce the migration reports periodically with detail analysis of migrated data.  Create reports using bursting queries and regular sql queries • Strong knowledge on Kubernetes. • Willingness to Travel Desirable Functional/Technical Skills: • Domain knowledge on Pre-paid, Post-paid Billing areas for Broadband/Wireless Voice/SMS/Data service provider • Good problem solving, troubleshooting & communication skills • Knowledge on deploying Billing and Revenue Management on premise and/or cloud infrastructure • Should have customer-facing skills and should be able to drive workshops with the customer using Oracle tools, technologies, products, and methodologies","Engineering Manager ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development
Dot Net Developer - Insurance Domain- Remote opportunity,https://www.naukri.com/job-listings-dot-net-developer-insurance-domain-remote-opportunity-paktolus-solutions-mumbai-all-areas-5-to-8-years-100725037752,Paktolus Solutions,3.6,5-8 Yrs ,5-10 Lacs PA ,Remote ,"insurance, Web Api, ASP.Net, C#, .Net Core, MVC, ASP.Net MVC, SQL",2025-07-10,Mumbai (All Areas),2,Less than 10,"Job Title: Dot Net DeveloperExperience: 5+ years | Location: Remote | Full-timeSeeking a .NET Developer with Insurance domain experience, strong in .NET framework, C#, ASP.NET, MS SQL, MVC, Visual Studio, HTML, CSS, JavaScript, AJAX, AngularJS.","Back End Developer ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development
Technical Support Engineer I,https://www.naukri.com/job-listings-technical-support-engineer-i-mitratech-india-llp-hyderabad-1-to-4-years-100725037701,Mitratech India,3.9,1-4 Yrs ,N/A,Remote ,"Customer Service, Product Support, Technical Support, Chat Support, Troubleshooting, Customer Support, L1 Support, L1",2025-07-10,Hyderabad,1,Less than 10,"At Mitratech, we are a team of technocrats focused on building world-class products that simplify operations in the Legal, Risk, Compliance, and HR functions. We are a close-knit, globally dispersed team that thrives in an ecosystem that supports individual excellence and takes pride in its diverse and inclusive work culture centered around great people practices, learning opportunities, and having fun! Our culture is the ideal blend of entrepreneurial spirit and enterprise investment, enabling the chance to move at a rapid pace with some of the most complex, leading-edge technologies available.For over 35 years, the experts at Mitratech have been focused on solving the complex needs. Today, we serve 20,000 client companies of all sizes globally, representing 30% of the Fortune 500 and over 500,000 users in over 160 countries.As we continue to grow, were always looking for resourceful, enthusiastic, and fresh perspectives. Join our global team and see what makes Mitratech a truly exceptional place to work!Job Overview The Product Support Specialist I is responsible for providing functional support, with responsibilities that include working with our customers to troubleshoot, document, and resolve issues from the user interface. Candidates will be expected to work both collaboratively with client contacts and colleagues and must have the ability to be self-directed in order to obtain and clearly communicate resolution of the clients inquiry.The key focus of this role will be to support our clients in the day-to-day operation of Mitratech’s SaaS products, which includes responding/resolving inquiries via tickets, chats, and phone calls to support.Duties & Responsibilities:Serve as the first point of contact via phone, chat, email, and web-based support portal to provide solutionsResearch, troubleshoot, and resolve support issues within response and resolution goals. As needed, identify workarounds and communicate to customersProvide solutions where issues are identified via self-service portalMaintain detailed call and email records for all customer interactionsPrioritize and resolve issues based on service level agreements and severitiesResponsible for meeting customer satisfaction goals monthlyAfter-hour on-call support coverage rotation may be requiredAny other tasks and duties that might reasonably be required of youRequirements & Skills:1 year experience working in a customer service environmentExcellent verbal and written communication skillsWorks well in a team environment, as well as independentlyCustomer-centric attitude with the ability to make sound decisions based on customer needs and product knowledgeAttention to detail with the ability to multi-task and strong organizational skillsSelf-motivated and able to work under pressure to deliver high-quality solutionsExperience with Windows Operating Systems and Microsoft Office applicationsAdvanced computer skillsExperience with Excel preferredExperience with SQL beneficial but not requiredExperience with Salesforce or a CRM application beneficial but not requiredWe are an equal-opportunity employer that values diversity at all levels. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity, disability, or veteran status.","IT Support - Other ,","Software Product ,","IT & Information Security ,","Full Time, Permanent",IT Support
Business Analyst Intern,https://www.naukri.com/job-listings-business-analyst-intern-human-initials-hyderabad-0-to-1-years-100725037684,Human Initials,N/A,N/A,"7,500/month ",Remote ,,Starts within 1 month,Hyderabad,130,11,"Business Analyst Intern (Freshers Eligible)Freshers from any tech/management background Students in their final year, recent graduates, or career switchers No prior experience or skills required you will learn the tools and techniques during the internship Must be eager to learn, analytical, and detail-oriented Preference will be given to candidates with:BBA / MBA / B.Tech / B.Com / BA (Eco/Stats) Interest in data, strategy, and business processesRole & responsibilities  Roles & Responsibilities:As a Business Analyst Intern, you will:Work on real-time projects and case studies Assist in identifying, analyzing, and documenting business requirements Use tools like Excel, PowerPoint, Google Sheets, and basic analytics platforms Support in process improvement, data modeling, and market research Interact with cross-functional teams for understanding business operations Help create and present reports, dashboards, and recommendations You will be trained by mentors and industry experts throughout the internship.Certificate of Completion of Internship Opportunity for Performance-Based Stipend (up to 7500) Direct entry to our Training & Placement Cell Hands-on learning with real projects One-on-one mentorship and interview preparationInterview Preparation resume building sessions","Data Science & Analytics - Other ,","IT Services & Consulting ,","Data Science & Analytics ,","Full Time, Permanent",Data Science & Analytics - Other
PHP Developer - Remote,https://www.naukri.com/job-listings-php-developer-remote-mercid-technology-solutions-mumbai-all-areas-5-to-8-years-100725037633,Mercid Technology Solutions,N/A,5-8 Yrs ,N/A,Remote ,"Php Development, CodeIgniter framework, Loyalty domain, Agile development, Technical, MySQL, B2B travel booking, JIRA",2025-07-10,Mumbai (All Areas),2,Less than 10,"4+ years of experience in PHP development. CodeIgniter framework. knowledge of MySQL, database operations. front-end/client-side technologies, HTML, CSS, Ajax, jQuery. building B2C or B2B travel booking portals for flights and hotels.Required Candidate profileAgile development methodologies & JIRA for project management. worked on Coordinator framework with MySql & DB, experience in Flight API integration related to b2c booking journey.","Head - Tech Support ,","IT Services & Consulting ,","IT & Information Security ,","Full Time, Temporary/Contractual",IT Support
